title,company,location,date,url,department,employment_type,workplace_type
Business Development Representative Student,Lusha,Tel Aviv-Yafo,2026-04-18,https://www.lusha.com/careers/co/tel-aviv/60.765/business-development-representative-student/,Sales,Full-time,Hybrid
Data Engineer,Lusha,Tel Aviv-Yafo,2026-04-12,https://www.lusha.com/careers/co/tel-aviv/6B.569/data-engineer/,R&D,Full-time,Hybrid
Data Infra Tech Lead,Lusha,Tel Aviv-Yafo,2026-04-14,https://www.lusha.com/careers/co/tel-aviv/9E.86E/data-infra-tech-lead/,R&D,Full-time,Hybrid
Lead Enterprise Account Manager (Player-Coach),Lusha,Tel Aviv-Yafo,2026-04-18,https://www.lusha.com/careers/co/tel-aviv/EC.564/lead-enterprise-account-manager-player-coach/,Sales,Full-time,Hybrid
Mid-Market & Enterprise Account Executive,Lusha,Tel Aviv-Yafo,2026-04-18,https://www.lusha.com/careers/co/tel-aviv/0C.561/mid-market-enterprise-account-executive/,Sales,Full-time,Hybrid
"R&D Director, Core Solutions",Lusha,Tel Aviv-Yafo,2026-04-16,https://www.lusha.com/careers/co/tel-aviv/42.96A/rd-director-core-solutions/,R&D,Full-time,Hybrid
Senior BI Data Engineer,Lusha,Tel Aviv-Yafo,2026-04-19,https://www.lusha.com/careers/co/tel-aviv/6F.26C/senior-bi-data-engineer/,R&D,Full-time,Hybrid
Senior Business Analyst,Lusha,Tel Aviv-Yafo,2026-04-19,https://www.lusha.com/careers/co/tel-aviv/6D.86A/senior-business-analyst/,HQ,Full-time,Hybrid
Senior Data Analyst,Lusha,Tel Aviv-Yafo,2026-04-18,https://www.lusha.com/careers/co/tel-aviv/FE.86F/senior-data-analyst/,R&D,Full-time,Hybrid
Senior Data Product Manager,Lusha,Tel Aviv-Yafo,2026-04-14,https://www.lusha.com/careers/co/tel-aviv/C6.46A/senior-data-product-manager/,Product Management,Full-time,Hybrid
Senior Full Stack Developer,Lusha,Tel Aviv-Yafo,2026-04-15,https://www.lusha.com/careers/co/tel-aviv/B7.A5F/senior-full-stack-developer/,R&D,Full-time,Hybrid
Senior Product Analyst,Lusha,Tel Aviv-Yafo,2026-04-12,https://www.lusha.com/careers/co/tel-aviv/31.362/senior-product-analyst/,Product Analytics,Full-time,Hybrid
Senior Strategic FP&A,Lusha,Tel Aviv-Yafo,2026-04-09,https://www.lusha.com/careers/co/tel-aviv/CD.764/senior-strategic-fpa/,HQ,Full-time,Hybrid
Software Engineer (Data Platforms),Lusha,Tel Aviv-Yafo,2026-04-19,https://www.lusha.com/careers/co/tel-aviv/CD.66A/software-engineer-data-platforms/,R&D,Full-time,Hybrid
AI Engineer,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-18,https://www.onezerobank.com/career/position/?positionID=63.560,R&D,,Hybrid
Back Office – Trading Operations,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-19,https://www.onezerobank.com/career/position/?positionID=DC.76F,Finance & Accounting,,Hybrid
Backend Developer – DevEx,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-19,https://www.onezerobank.com/career/position/?positionID=04.563,R&D,,Hybrid
Backend Tech Lead,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-18,https://www.onezerobank.com/career/position/?positionID=0C.463,R&D,,Hybrid
Controller – Banking Experience,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-16,https://www.onezerobank.com/career/position/?positionID=50.762,Finance & Accounting,,Hybrid
Data Engineering Team Leader,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-17,https://www.onezerobank.com/career/position/?positionID=C9.763,R&D,,Hybrid
Front Office – Trading Operations,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-19,https://www.onezerobank.com/career/position/?positionID=DC.76D,Finance & Accounting,,Hybrid
FullStack AI Engineer,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-19,https://www.onezerobank.com/career/position/?positionID=53.56F,R&D,,Hybrid
Internal Audit Manager,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-19,https://www.onezerobank.com/career/position/?positionID=DE.86F,Audit,,Hybrid
Legal Counsel (Operations & Regulation),ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-15,https://www.onezerobank.com/career/position/?positionID=7B.769,Legal,,Hybrid
Marketing Automation Manager -Loans & Collections,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-16,https://www.onezerobank.com/career/position/?positionID=A8.76E,Marketing,,Hybrid
Product Manager,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-19,https://www.onezerobank.com/en/career/position/?positionID=74.867,Product & Projects,,Hybrid
Project Manager,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-19,https://www.onezerobank.com/career/position/?positionID=64.765,Product & Projects,,Hybrid
Securities Control Specialist,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-18,https://www.onezerobank.com/career/position/?positionID=2D.55A,Retail Banking,,Hybrid
SOX Compliance Specialist,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-16,https://www.onezerobank.com/career/position/?positionID=BD.466,Finance & Accounting,,Hybrid
בנקאי דובר רוסית,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-18,https://www.onezerobank.com/career/position/?positionID=3B.560,Retail Banking,,Hybrid
מומח/ית בקרות תפעוליות בשוק ההון,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-19,https://www.onezerobank.com/en/career/position/?positionID=C4.76A,Retail Banking,,Hybrid
משהו גדול קורה כאן – הכשרה לבנקאות ללא ניסיון!,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-19,https://www.onezerobank.com/en/career/position/?positionID=72.150,Retail Banking,,Hybrid
נציג/ת גיוס לקוחות,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-16,https://www.onezerobank.com/career/position/?positionID=FC.C41,Marketing,Hourly,On-site
עורך דין - מטה ורגולציה,ONE ZERO Digital Bank,Tel Aviv-Yafo,2026-04-19,https://www.onezerobank.com/career/position/?positionID=7B.76D,Legal,,Hybrid
