id,title,company,location,date_posted,deadline,url,source,education,experience,summary
4-130/2026,ר תחום לתאום הרכש,אגף השיקום,פתח תקוה,2026-06-11,2026-06-25,https://jobs.mod.gov.il/#/Tenders?TenderId=34527,mod,השכלה אקדמית (תואר ראשון) או הנדסאי/ת או טכנאי/ת.,"לבעל/ת תואר ראשון נדרש ניסיון של 3 שנים, להנדסאי/ת 4 שנים, ולטכנאי/ת 5 שנים, בלפחות שלושה מהתחומים המפורטים להלן: 1.תכנון רכישה מקדים. 2.הגדרת סטנדרטים למוצרים/השירות וכן לספקים. 3.דיוק הצורך, גיבוש וליווי ו/או כתיבת הדרישות המקצועיות (לרבות מול גורמי המקצוע). 4.ניתוח שוק לרבות בחינת המוצרים/השירותים, המחירים והספקים הקיימים. 5.עריכת הסכם לשלב הרכישה ולשלב ההתקשרות. 6.כתיבת מכרזים על-פי חוק חובת המכרזים. 7.ניהול ההליך המכרזי לרבות ניתוח הערך ובדיקת ההצעות, מענה על שאלות הבהרה ודירוג ההצעות. 8.הערכת עלויות וביצוע אומדן טרם ביצוע הרכש לצורך היערכות ושריון תקציבי. 9.מו""מ מול ספקים באשר להסכם ההתקשרות טרם ביצוע הרכישה. 10 .ניהול ההתקשרות מול הספקים, אכיפת ההסכם וקיום מו""מ. לבעל/ת תואר שני תופחת שנת ניסיון אחת.","נושא באחריות לתיאום התקשרויות אגף השיקום, מעקב, הבקרה ומתן מענה לספקים בתחום הרכש."
4-133/2026,אחראי שירותים רפואיים,אגף השיקום,באר שבע,2026-06-11,2026-06-25,https://jobs.mod.gov.il/#/Tenders?TenderId=34530,mod,אקדמאית (תואר ראשון),1 שנת ניסיון בתחום העיסוק של המשרה כמתואר בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. בעלי/ות תואר שני לא נדרשים לניסיון.,טיפול במימוש זכאויות בתחום הרווחה/ השירותים הרפואיים על פי הוראות האגף והנחיית הממונה.
4-132/2026,ע' בכיר לשירותים רפואיים,אגף השיקום,חיפה,2026-06-11,2026-06-25,https://jobs.mod.gov.il/#/Tenders?TenderId=34531,mod,אקדמאית (תואר ראשון),2 שנות ניסיון בתחום העיסוק של המשרה כמתואר בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.,אחריות על טיפול בנושאים בתחום הרווחה/ שירותים הרפואיים של אוכלוסיית הזכאים.
4-134/2026,עובד סוציאלי,"משפחות, הנצחה ומורשת",באר שבע,2026-06-11,2026-06-25,https://jobs.mod.gov.il/#/Tenders?TenderId=34534,mod,אקדמית (תואר ראשון) בעבודה סוציאלית. רישום בפנקס העובדים הסוציאליים.,רצוי ניסיון בעבודה סוציאלית.,"נשיאה באחריות למתן שירות על הטיפול הפסיכוסוציאלי במשפחות השכולות בתחום האזור הגיאוגרפי שבאחריות, ועל קיום קשר רציף עמן. בנוסף לתפקיד, נשיאה באחריות על ניהול, ארגון וקידום נושא מקצועי במחוז."
4-138/2026,"מנמ""ח מע' חשמל (מ""נ) ותשתיות",אמון- אגף מבצעים לוגיסטיקה ונכסים,תל אביב-יפו,2026-06-11,2026-06-25,https://jobs.mod.gov.il/#/Tenders?TenderId=34536,mod,"מהנדס/ת או הנדסאי/ת או טכנאי/ת בתחום החשמל/אלקטרוניקה/מערכות. בנוסף, רישיון ""חשמלאי ראשי"", ומעלה. רישום בפנקס המהנדסים/אדריכלים או בפנקס ההנדסאים/הטכנאים.","2 שנות ניסיון למהנדס/ת , 3 שנים להנדסאי/ת, ו- 4 שנים לטכנאי/ת, בביצוע עבודות חשמל. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.","אחריות להתקנה ואחזקה בתחום המייצגים החכמים במוזיאונים וכן מערכות לגילוי אש ומערכות מיזוג, בהתאם להנחיית הממונה."
4-127/2026,ר' תחום טכנולוגית MTCR,הפיקוח על הייצוא הביטחוני,תל אביב-יפו,2026-06-10,2026-06-24,https://jobs.mod.gov.il/#/Tenders?TenderId=34512,mod,מהנדס/ת או הנדסאי/ת בתחומים הבאים: אלקטרוניקה / מחשבים/מכונות/ אווירונאטיקה/חשמל / אלקטרואופטיקה,"3 שנות ניסיון למהנדס/ת, 4 שנות ניסיון להנדסאי/ת - בניהול/תכנון ופיתוח/בחינה של פרויקטים (מוצרים/ידע) טכנולוגיים ביטחוניים/טכנולוגיות מתקדמות. לבעל/ת תואר שני תופחת שנת ניסיון אחת.",מהווה סמכות מקצועית טכנולוגית והנדסית באגף. מהווה מוקד ידע להתייעצות יצואנים בנושאים הקשורים להיבטים טכנולוגיים. אחריות לבחינה טכנולוגיות הנדסית של כלל המוצרים.
4-128/2026,אחראי שירותים רפואיים,אגף השיקום,רחובות,2026-06-10,2026-06-24,https://jobs.mod.gov.il/#/Tenders?TenderId=34516,mod,אקדמאית (תואר ראשון),1 שנת ניסיון בתחום העיסוק של המשרה כמתואר בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. בעלי/ות תואר שני לא נדרשים לניסיון.,טיפול במימוש זכאויות בתחום הרווחה/ השירותים הרפואיים על פי הוראות האגף והנחיית הממונה.
4-129/2026,ר' תחום תשתיות,דיגיטל וטכנולוגיית המידע,תל אביב-יפו,2026-06-10,2026-06-24,https://jobs.mod.gov.il/#/Tenders?TenderId=34520,mod,אקדמאי/ת/הנדסאי/ת/ טכנאי/ת,"ניסיון של 3 שנים לאקדמאי/ת, 4 שנים להנדסאי/ת ו-5 שנים לטכנאי/ת, בהתקנה והפעלה של מוצרי תשתית, בסביבת עבודה מרובת שרתים, בלפחות בשניים מהתחומים הבאים : תשתיות מסדי נתונים/תשתיות שו""ב/תשתיות sap/ תשתיות מוצרי מיקרוסופט/ תשתיות אבטחת מידע/תשתיות אחסון וגיבוי. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.","נשיאה באחריות כוללת לתשתיות הדיגיטליות האגף לרבות תכנון, תפעול ותחזוקה לשם הבטח ת זמינות, יציבות וחדשנות טכנולוגית."
4-136/2026,עוזר בכיר לשילוב ספקים,"מנה""ר- מינהל הרכש הביטחוני",תל אביב-יפו,2026-06-10,2026-06-24,https://jobs.mod.gov.il/#/Tenders?TenderId=24476,mod,השכלה אקדמאית (תואר ראשון) או הנדסאי/ת או טכנאי/ת.,"ניסיון של 2 שנים לאקדמאי/ת, 3 שנים להנדסאי/ת ו-4 שנים לטכנאי/ת, בתחום הרכש / בניהול מאגר ספקים /במיון וקליטת ספקים. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.",אחריות על הפעילות המרכזית של רישום וקליטת ספקים במרכז לשילוב ספקים.
4-141/2026,ע' בכיר לרווחה,אגף השיקום,תל השומר,2026-06-07,2026-06-21,https://jobs.mod.gov.il/#/Tenders?TenderId=34538,mod,אקדמאית (תואר ראשון),שנתיים ניסיון בתחום העיסוק של המשרה כמתואר בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.,אחריות על טיפול בנושאים בתחום הרווחה/ שירותים הרפואיים של אוכלוסיית הזכאים.
4-121/2026,מפקח בינוי,ההנדסה והבינוי,פתח תקוה,2026-06-07,2026-06-21,https://jobs.mod.gov.il/#/Tenders?TenderId=24478,mod,אקדמאית (תואר ראשון) בהנדסה או הנדסאי/ת או טכנאי/ת בתחומים הבאים: הנדסה אזרחית/חשמל/מכונות/אדריכלות. רישום בפנקס מהנדסים/אדריכלים או בפנקס הנדסאים/טכנאים. רשיונות: התפקיד מחייב רישיון נהיגה (דרגה B) בתוקף.,"ניסיון הנדסי בניהול פרויקט בינוי/בפיקוח בפרויקט בינוי . ניתן למנות את שנות הניסיון מיום הזכאות לדיפלומה/לתואר. לקליטה בדרגה התחילית -לא נדרש ניסיון קודם. דרגת הקליטה של המועמד תקבע בהתאם לסעיף 11.13 בתקש""יר והתקדמות במתח הדרגות תהיה בהתאם למסלול הקידום המקצועי השייך למשרה זו.","פיקוח על עבודות הקבלנים בפרויקטי הבינוי. תחומי אחריות הפיקוח, סמכויות הניהול ואופי הפרויקט יהיו תואמים לרמה המקצועית, הניסיון המצטבר והמיקום בסולם הדרגות במסלול הקידום. תקציב הפרויקט ומורכבותו ייגזר מדרגת העובד במשרה או בהתאם להתפתחות בסולם הדרגות במשרה וכן בהתאם לרכישת נסיון מקצועי בתחום. בדרגות תחיליות, עבודת הפיקוח תהא בליווי וחניכה של מהנדס מנוסה באגף שיהווה ""מנטור מקצועי"" ובאחריות כוללת של מנהל המחוז,וזאת עד להסמכה לביצוע התפקיד באופן עצמאי."
4-123/2026,עובד סוציאלי,אגף השיקום,תל השומר,2026-06-07,2026-06-21,https://jobs.mod.gov.il/#/Tenders?TenderId=34496,mod,אקדמאית (תואר ראשון) בעבודה סוציאלית. רישום בפנקס העובדים הסוציאליים.,רצוי ניסיון בעבודה סוציאלית.,"נשיאה באחריות למתן שירות טיפולי שיקומי בתחום האזור הגיאוגרפי המוגדר. נשיאה באחריות על ניהול, ארגון וקידום נושא מקצועי בתחום השיקום במחוז."
4-122/2026,"מנמ""ח פרוייקטים למרכיבי ביטחון בהתיישבות",אגף להתיישבות,תל אביב-יפו,2026-06-07,2026-06-21,https://jobs.mod.gov.il/#/Tenders?TenderId=34508,mod,אקדמית (תואר ראשון),ניסיון של שנתיים לאקדמאי/ת בניהול פרוייקטים רצוי בתחום הביטחוני. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.,סיוע לממונה בקידום פרויקטים של מרכיבי הביטחון וביצוע התקשרויות למול הרשויות בפרויקטים של מרכיבי הביטחון בהתיישבות.
